legal_cat,age,elig_phat,elig_phat_SE,elig_count,elig_count_se,years,rec_phat,rec_phat_SE,rec_count,rec_count_se,time,incidence,tminus10,tminus9,tminus8,tminus7,tminus6,tminus5,tminus4,tminus3,tminus2,tminus1,t0,t1,t2,t3,t4
Effective_2014,12_20,0.729,0.0153,1024000,59000,2008 to 2009,0.064,0.0072,89000,10000,-6,0.0869140625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Effective_2014,21_Plus,0.461,0.0172,3746000,194000,2008 to 2009,0.001,0.0006,10000,5000,-6,0.0026695141,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Effective_2014,Overall,0.5,0.0155,4770000,217000,2008 to 2009,0.01,0.0011,100000,10000,-6,0.0209643606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Effective_2015,12_20,0.71,0.0228,328000,23000,2008 to 2009,0.066,0.0094,30000,5000,-7,0.0914634146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Effective_2015,21_Plus,0.416,0.0223,1134000,89000,2008 to 2009,0.001,0.0005,2000,1000,-7,0.0017636684,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Effective_2015,Overall,0.459,0.0194,1462000,93000,2008 to 2009,0.01,0.0018,33000,5000,-7,0.0225718194,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Effective_2016,12_20,0.737,0.0235,67000,5000,2008 to 2009,,,,,-8,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2016,21_Plus,0.412,0.0264,188000,17000,2008 to 2009,,,,,-8,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2016,Overall,0.466,0.0241,255000,19000,2008 to 2009,,,,,-8,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2017,12_20,0.734,0.0182,226000,22000,2008 to 2009,0.049,0.0092,15000,3000,-9,0.0663716814,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2017,21_Plus,0.535,0.0278,975000,102000,2008 to 2009,0.005,0.0042,9000,8000,-9,0.0092307692,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2017,Overall,0.564,0.0234,1200000,113000,2008 to 2009,0.011,0.0039,24000,9000,-9,0.02,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2018,12_20,0.77,0.0089,4327000,154000,2008 to 2009,0.056,0.0043,314000,26000,-10,0.0725675988,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2018,21_Plus,0.553,0.012,16557000,629000,2008 to 2009,0.003,0.0005,91000,17000,-10,0.0054961648,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2018,Overall,0.587,0.0104,20884000,697000,2008 to 2009,0.011,0.0009,406000,31000,-10,0.0194407202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illegal,12_20,0.784,0.0027,23704000,249000,2008 to 2009,0.05,0.0013,1509000,42000,0,0.0636601417,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,21_Plus,0.571,0.0034,96828000,1077000,2008 to 2009,0.001,0.0001,220000,23000,0,0.0022720701,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,Overall,0.603,0.0029,120531000,1147000,2008 to 2009,0.009,0.0002,1729000,49000,0,0.0143448573,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Overall,12_20,0.778,0.0026,29676000,299000,2008 to 2009,0.051,0.0012,1958000,51000,,0.0659792425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,21_Plus,0.562,0.0032,119428000,1259000,2008 to 2009,0.002,0.0001,333000,30000,,0.0027882909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,Overall,0.594,0.0028,149104000,1359000,2008 to 2009,0.009,0.0002,2291000,60000,,0.0153651143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2014,12_20,0.741,0.0158,1006000,54000,2010 to 2011,0.067,0.0073,91000,11000,-4,0.0904572565,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Effective_2014,21_Plus,0.456,0.0181,3849000,262000,2010 to 2011,0.003,0.0009,21000,8000,-4,0.0054559626,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Effective_2014,Overall,0.496,0.016,4855000,288000,2010 to 2011,0.011,0.0012,112000,13000,-4,0.023069001,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Effective_2015,12_20,0.733,0.0251,314000,27000,2010 to 2011,0.057,0.0084,25000,4000,-5,0.0796178344,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Effective_2015,21_Plus,0.463,0.0246,1304000,116000,2010 to 2011,0.003,0.0011,9000,3000,-5,0.0069018405,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Effective_2015,Overall,0.499,0.0208,1618000,123000,2010 to 2011,0.01,0.0017,33000,5000,-5,0.0203955501,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Effective_2016,12_20,0.742,0.0219,65000,5000,2010 to 2011,0.061,0.0092,5000,1000,-6,0.0769230769,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Effective_2016,21_Plus,0.4,0.0216,190000,16000,2010 to 2011,0.004,0.0031,2000,1000,-6,0.0105263158,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Effective_2016,Overall,0.454,0.018,255000,17000,2010 to 2011,0.013,0.0027,7000,2000,-6,0.0274509804,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Effective_2017,12_20,0.725,0.0235,254000,42000,2010 to 2011,0.064,0.0131,22000,7000,-7,0.0866141732,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Effective_2017,21_Plus,0.545,0.0285,1007000,126000,2010 to 2011,0.002,0.0006,3000,1000,-7,0.002979146,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Effective_2017,Overall,0.574,0.0246,1261000,150000,2010 to 2011,0.012,0.0025,25000,6000,-7,0.0198255353,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Effective_2018,12_20,0.75,0.0088,4264000,149000,2010 to 2011,0.07,0.0048,395000,29000,-8,0.0926360225,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2018,21_Plus,0.559,0.0111,17102000,599000,2010 to 2011,0.004,0.001,122000,31000,-8,0.0071336686,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2018,Overall,0.589,0.0095,21366000,647000,2010 to 2011,0.014,0.0012,518000,43000,-8,0.0242441262,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Illegal,12_20,0.781,0.0031,23691000,286000,2010 to 2011,0.05,0.0013,1507000,46000,0,0.0636106538,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,21_Plus,0.565,0.0036,97792000,1151000,2010 to 2011,0.002,0.0002,328000,31000,0,0.0033540576,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,Overall,0.597,0.0031,121482000,1253000,2010 to 2011,0.009,0.0003,1835000,56000,0,0.0151051185,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Overall,12_20,0.774,0.0029,29593000,332000,2010 to 2011,0.054,0.0013,2046000,56000,,0.0691379718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,21_Plus,0.558,0.0034,121244000,1335000,2010 to 2011,0.002,0.0002,485000,44000,,0.0040001979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,Overall,0.59,0.0029,150837000,1461000,2010 to 2011,0.01,0.0003,2531000,72000,,0.0167797026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2014,12_20,0.729,0.0141,1062000,52000,2012 to 2013,0.057,0.0058,83000,9000,-2,0.0781544256,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Effective_2014,21_Plus,0.441,0.016,3796000,249000,2012 to 2013,0.003,0.0016,29000,14000,-2,0.0076396207,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Effective_2014,Overall,0.483,0.0139,4857000,273000,2012 to 2013,0.011,0.0016,112000,17000,-2,0.0230595018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Effective_2015,12_20,0.734,0.0203,340000,25000,2012 to 2013,0.057,0.0127,26000,6000,-3,0.0764705882,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Effective_2015,21_Plus,0.361,0.0215,1029000,84000,2012 to 2013,0.005,0.0033,16000,9000,-3,0.0155490768,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Effective_2015,Overall,0.414,0.0194,1369000,88000,2012 to 2013,0.013,0.0035,42000,11000,-3,0.030679328,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Effective_2016,12_20,0.759,0.023,71000,6000,2012 to 2013,0.046,0.0101,4000,1000,-4,0.0563380282,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Effective_2016,21_Plus,0.366,0.0257,177000,17000,2012 to 2013,0.005,0.0037,2000,2000,-4,0.011299435,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Effective_2016,Overall,0.429,0.0225,248000,20000,2012 to 2013,0.011,0.0034,7000,2000,-4,0.0282258065,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Effective_2017,12_20,0.74,0.0197,252000,21000,2012 to 2013,0.051,0.0092,17000,3000,-5,0.0674603175,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Effective_2017,21_Plus,0.505,0.0302,987000,88000,2012 to 2013,0.006,0.0034,12000,6000,-5,0.0121580547,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Effective_2017,Overall,0.54,0.0274,1239000,103000,2012 to 2013,0.013,0.003,29000,7000,-5,0.0234059726,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Effective_2018,12_20,0.751,0.0097,4323000,175000,2012 to 2013,0.053,0.0043,308000,29000,-6,0.0712468193,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Effective_2018,21_Plus,0.535,0.0108,16866000,602000,2012 to 2013,0.002,0.0005,77000,17000,-6,0.0045653978,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Effective_2018,Overall,0.569,0.0095,21189000,672000,2012 to 2013,0.01,0.0009,385000,33000,-6,0.0181698051,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Illegal,12_20,0.786,0.0029,23625000,255000,2012 to 2013,0.049,0.0013,1462000,44000,0,0.0618835979,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,21_Plus,0.553,0.0035,98172000,1068000,2012 to 2013,0.002,0.0002,363000,29000,0,0.003697592,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,Overall,0.586,0.003,121797000,1157000,2012 to 2013,0.009,0.0002,1825000,52000,0,0.0149839487,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Overall,12_20,0.778,0.0028,29673000,319000,2012 to 2013,0.05,0.0013,1901000,53000,,0.0640649749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,21_Plus,0.543,0.0033,121027000,1254000,2012 to 2013,0.002,0.0002,500000,38000,,0.0041313095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,Overall,0.577,0.0028,150699000,1375000,2012 to 2013,0.009,0.0002,2401000,65000,,0.0159324216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2014,12_20,0.744,0.0177,1105000,55000,2014 to 2015,0.065,0.0081,97000,13000,0,0.0877828054,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2014,21_Plus,0.431,0.0136,3847000,183000,2014 to 2015,0.005,0.0011,42000,10000,0,0.0109175981,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2014,Overall,0.476,0.012,4952000,195000,2014 to 2015,0.013,0.0015,139000,16000,0,0.0280694669,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2015,12_20,0.734,0.0231,320000,22000,2014 to 2015,0.068,0.014,30000,7000,-1,0.09375,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Effective_2015,21_Plus,0.454,0.0206,1341000,100000,2014 to 2015,0.008,0.0037,25000,11000,-1,0.0186428039,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Effective_2015,Overall,0.49,0.0171,1662000,101000,2014 to 2015,0.016,0.0037,54000,12000,-1,0.0324909747,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Effective_2016,12_20,0.695,0.0286,63000,5000,2014 to 2015,0.051,0.0095,5000,1000,-2,0.0793650794,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Effective_2016,21_Plus,0.358,0.0174,176000,10000,2014 to 2015,0.005,0.0022,2000,1000,-2,0.0113636364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Effective_2016,Overall,0.41,0.0139,238000,10000,2014 to 2015,0.012,0.0024,7000,1000,-2,0.0294117647,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Effective_2017,12_20,0.719,0.0213,237000,17000,2014 to 2015,0.05,0.01,16000,4000,-3,0.0675105485,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Effective_2017,21_Plus,0.498,0.0181,1023000,65000,2014 to 2015,0.001,0.0008,3000,2000,-3,0.0029325513,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Effective_2017,Overall,0.528,0.0167,1260000,68000,2014 to 2015,0.008,0.0017,19000,4000,-3,0.0150793651,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Effective_2018,12_20,0.76,0.0104,4276000,150000,2014 to 2015,0.054,0.0047,305000,29000,-4,0.0713283442,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Effective_2018,21_Plus,0.52,0.0102,16933000,518000,2014 to 2015,0.003,0.0006,99000,20000,-4,0.0058465718,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Effective_2018,Overall,0.556,0.0091,21209000,544000,2014 to 2015,0.011,0.0009,404000,34000,-4,0.0190485171,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Illegal,12_20,0.794,0.0031,23814000,227000,2014 to 2015,0.049,0.0014,1471000,46000,0,0.0617703872,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,21_Plus,0.541,0.0029,98256000,887000,2014 to 2015,0.003,0.0002,494000,34000,0,0.0050276828,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,Overall,0.577,0.0026,122070000,959000,2014 to 2015,0.009,0.0003,1965000,58000,0,0.0160973212,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Overall,12_20,0.786,0.003,29816000,277000,2014 to 2015,0.051,0.0013,1923000,55000,,0.0644955728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,21_Plus,0.532,0.0028,121575000,1030000,2014 to 2015,0.003,0.0002,665000,42000,,0.0054698746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,Overall,0.568,0.0024,151391000,1111000,2014 to 2015,0.01,0.0003,2589000,69000,,0.0171014129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2014,12_20,0.744,0.0177,1105000,55000,2016 to 2017,0.072,0.0084,103000,14000,2,0.0932126697,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2014,21_Plus,0.431,0.0136,3847000,183000,2016 to 2017,0.009,0.0019,80000,18000,2,0.020795425,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2014,Overall,0.476,0.012,4952000,195000,2016 to 2017,0.017,0.002,183000,22000,2,0.0369547658,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2015,12_20,0.734,0.0231,320000,22000,2016 to 2017,0.067,0.0109,29000,5000,1,0.090625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2015,21_Plus,0.454,0.0206,1341000,100000,2016 to 2017,0.008,0.0019,25000,6000,1,0.0186428039,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2015,Overall,0.49,0.0171,1662000,101000,2016 to 2017,0.015,0.002,54000,8000,1,0.0324909747,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2016,12_20,0.695,0.0286,63000,5000,2016 to 2017,0.059,0.0103,5000,1000,0,0.0793650794,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2016,21_Plus,0.358,0.0174,176000,10000,2016 to 2017,0.006,0.0016,3000,1000,0,0.0170454545,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2016,Overall,0.41,0.0139,238000,10000,2016 to 2017,0.014,0.0023,8000,1000,0,0.0336134454,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2017,12_20,0.719,0.0213,237000,17000,2016 to 2017,0.046,0.0069,15000,2000,-1,0.0632911392,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Effective_2017,21_Plus,0.498,0.0181,1023000,65000,2016 to 2017,0.006,0.0023,12000,5000,-1,0.0117302053,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Effective_2017,Overall,0.528,0.0167,1260000,68000,2016 to 2017,0.011,0.0022,28000,5000,-1,0.0222222222,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Effective_2018,12_20,0.76,0.0104,4276000,150000,2016 to 2017,0.059,0.004,333000,26000,-2,0.0778765201,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Effective_2018,21_Plus,0.52,0.0102,16933000,518000,2016 to 2017,0.004,0.0007,122000,24000,-2,0.0072048662,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Effective_2018,Overall,0.556,0.0091,21209000,544000,2016 to 2017,0.012,0.0009,455000,37000,-2,0.0214531567,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Illegal,12_20,0.794,0.0031,23814000,227000,2016 to 2017,0.049,0.0014,1466000,44000,0,0.0615604266,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,21_Plus,0.541,0.0029,98256000,887000,2016 to 2017,0.003,0.0002,610000,42000,0,0.0062082723,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,Overall,0.577,0.0026,122070000,959000,2016 to 2017,0.01,0.0003,2076000,61000,0,0.0170066355,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Overall,12_20,0.786,0.003,29816000,277000,2016 to 2017,0.052,0.0013,1952000,53000,,0.065468205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,21_Plus,0.532,0.0028,121575000,1030000,2016 to 2017,0.004,0.0002,852000,55000,,0.0070080197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,Overall,0.568,0.0024,151391000,1111000,2016 to 2017,0.01,0.0003,2804000,76000,,0.0185215766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effective_2014,12_20,0.768,0.0141,1143000,61000,2018 to 2019,0.066,0.008,98000,13000,4,0.0857392826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Effective_2014,21_Plus,0.377,0.0149,3648000,200000,2018 to 2019,0.008,0.0023,82000,22000,4,0.0224780702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Effective_2014,Overall,0.429,0.0128,4791000,205000,2018 to 2019,0.016,0.0023,180000,25000,4,0.0375704446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Effective_2015,12_20,0.749,0.0277,343000,29000,2018 to 2019,0.058,0.0093,27000,5000,3,0.0787172012,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Effective_2015,21_Plus,0.405,0.019,1271000,84000,2018 to 2019,0.013,0.0039,40000,12000,3,0.0314712825,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Effective_2015,Overall,0.449,0.0174,1613000,86000,2018 to 2019,0.018,0.0035,66000,12000,3,0.0409175449,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Effective_2016,12_20,0.772,0.0211,65000,4000,2018 to 2019,0.072,0.0111,6000,1000,2,0.0923076923,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2016,21_Plus,0.397,0.0168,199000,12000,2018 to 2019,0.008,0.0035,4000,2000,2,0.0201005025,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2016,Overall,0.452,0.0152,264000,14000,2018 to 2019,0.017,0.0033,10000,2000,2,0.0378787879,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Effective_2017,12_20,0.757,0.0232,263000,19000,2018 to 2019,0.066,0.0114,23000,4000,1,0.0874524715,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2017,21_Plus,0.452,0.0203,1000000,64000,2018 to 2019,0.013,0.0034,28000,8000,1,0.028,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2017,Overall,0.493,0.0189,1263000,70000,2018 to 2019,0.02,0.0038,51000,11000,1,0.0403800475,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Effective_2018,12_20,0.771,0.0095,4087000,112000,2018 to 2019,0.065,0.005,343000,29000,0,0.0839246391,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2018,21_Plus,0.491,0.01,16579000,450000,2018 to 2019,0.007,0.0009,224000,32000,0,0.0135110682,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Effective_2018,Overall,0.529,0.0091,20666000,484000,2018 to 2019,0.014,0.0011,566000,44000,0,0.0273879803,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,12_20,0.811,0.0031,24626000,284000,2018 to 2019,0.054,0.0015,1629000,51000,0,0.066149598,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,21_Plus,0.529,0.003,99051000,896000,2018 to 2019,0.004,0.0003,784000,49000,0,0.0079151144,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Illegal,Overall,0.569,0.0027,123677000,984000,2018 to 2019,0.011,0.0003,2413000,72000,0,0.0195104991,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Overall,12_20,0.803,0.0029,30527000,316000,2018 to 2019,0.056,0.0014,2125000,61000,,0.0696105087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,21_Plus,0.515,0.0029,121747000,1026000,2018 to 2019,0.005,0.0003,1161000,67000,,0.0095361693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Overall,Overall,0.555,0.0026,152274000,1131000,2018 to 2019,0.012,0.0003,3286000,91000,,0.0215795211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
